bimo0001206504,"Historia de Jesucristo sus hechos admirables, su predicacion y su doctrina",,,
bimo0001206506,Lecciones de Historia eclesiástica escrita para uso de los seminarios conciliares,,,
bimo0001206512,La virgen Maria y el Redentor de la humanidad Mr. Renan ante el tribunal de la fe y de la razon. Historia de la vida de nuestro señor Jesucristo y de la Santísima Virgen María,,,
bimo0001206601,Cartilla de geografía para uso de los niños,,,
bimo0001217048,Colorín colorado cuentos,,,
bimo0001217049,Cruz y Claveles,,,
bimo0001217050,De guante blanco cuentos,,,
bimo0001217053,En el cielo de la tierra,,,
bimo0001217070,"Media pava monólogo : estrenado en el Teatro S. Fernando de Sevilla por la eminente actriz Dª Carmen Cobeña de Oliver, a 10 de febrero de 1903",,,
bimo0001217072,La millona : novela,,,
bimo0001217373,A prima fija : entremés en prosa,,,
bimo0001217391,El ardid : comedia en tres actos y en prosa,,,
bimo0001217398,"El bien público : sátira en dos actos, el primero dividido en dos actos",,,
bimo0001217399,La bondad : comedia en tres actos,,,
bimo0001217415,"La cartera del muerto : comedia dramática en tres actos, original de Pedro Muñoz Seca",,,
bimo0001217416,La casa de la juerga : sainete en un acto y en prosa,,,
bimo0000951782,La República española y los problemas nacionales,,,
bimo0000906517,"¡Pobres jesuitas! origen, doctrinas, máximas, privilegios y vicisitudes de la Compañía de Jesús, desde su fundación hasta nuestros días",,,
bimo0001169347,Hacia un sensato comunismo,,,
bimo0002160413,Memoria sobre las fiebres intermitentes del Castillo de San Fernando de Figueras,,,
bimo0000865737,Egipto y Asiria resucitados,,,
Mimo0002189996,La política que nace y la política que expira,,,
bimo0000743426,La anquilostomiasis (anemia de los mineros) en España : comunicaciones a la Real Academia de Medicina (1905),,,
bimo0000743427,"La anquilostomiasis o anemia de los mineros como enfermedad social, especialmente en España",,,
bimo0000743444,El tifus exantemático de Madrid en el invierno de 1909 : investigaciones clinicas,,,
bimo0001277536,"Las elecciones sus vicios, la influencia moral del gobierno, estadística de la misma y proyecto de reforma electoral",,,
bimo0001277545,La política que expira y la política que nace,,,
bimo0001515447,"Dictamen referente a una información acerca de la anquilostomiasis : efectuada por acuerdo del Instituto, fecha 6 de febrero de 1917, en La Carolina (Jaén)",,,
bimo0001072496,La emancipación de los esclavos en los Estados Unidos,,,
bimo0001072552,"La república de los Estados Unidos de América : orígenes, instituciones jurídicas, carácter social, representación moral y política",,,
bimo0001072557,La revolución norte-americana del siglo XVIII (fundación de los Estados-Unidos de América),,,
bimo0001072562,El Tratado de París de 1898 entre España y los Estados Unidos,,,
bimo0001089030,Lecturas literarias tomadas de los mejores poetas y prosistas españoles e hispano-americanos y seguidas de un breve juicio explicativo y crítico,,,
bimo0001166225,Discursos pronunciados por el Excmo. Sr. D. Antonio Maura y Montaner en las sesiones celebradas por el Congreso de los Diputados ... sobre industrias y comunicaciones marítimas nacionales,,,
bimo0001222418,Asuntos diversos : colección de artículos de José Nakens,,,
bimo0001222423,La celda número 7 (Impresiones de la cárcel),,,
